Order ID,Order Date,Shipment Date,Delivery Date,Customer ID,Customer Region,Customer Country,Product ID,Product Name,Product Category,Supplier ID,Supplier Name,Supplier Region,Warehouse ID,Warehouse Location,Transportation Mode,Order Quantity,Unit Price,Total Cost,Shipping Cost,Delivery Time Days,Inventory Level,Order Status,Profit
100010,11/26/2024,11/27/2024,12/13/2024,C8392,North America,United States,P40080,Shampoo Pack,FMCG,S476,Zenith Procurement,Middle East,WH 05,Frankfurt,Sea,292,24.22,7072.24,13.34,16,2975,Delivered,491.66
100011,11/13/2024,11/17/2024,11/24/2024,C1663,Europe,Netherlands,P44766,Denim Jeans,Apparel,S926,Pioneer Distribution,Middle East,WH 08,Chicago,Road,383,34.06,13044.98,23.33,7,1645,Delivered,3816.54
100012,5/24/2025,5/25/2025,6/6/2025,C4696,North America,United States,P36736,Detergent Bag,FMCG,S101,Summit Supply Co,North America,WH 10,Cairo,Sea,139,23.5,3266.5,7.82,12,1154,Delivered,257.23
100013,11/14/2025,11/15/2025,11/24/2025,C5931,Africa,Egypt,P62662,Denim Jeans,Apparel,S302,Crescent Logistics,Africa,WH 08,Chicago,Rail,193,36.14,6975.02,11.39,9,916,Delivered,2057.99
100014,5/25/2025,5/25/2025,6/4/2025,C3511,Asia,Vietnam,P25708,Smart Watch,Electronics,S870,Crescent Logistics,Middle East,WH 10,Cairo,Road,157,187.12,29377.84,16.92,10,452,Delivered,3767.33
100015,5/3/2025,5/3/2025,5/12/2025,C3385,Middle East,Oman,P21111,Face Mask Box,Healthcare,S740,Summit Supply Co,North America,WH 09,Johannesburg,Road,276,35.97,9927.72,20.3,9,4261,Delivered,900.44
100016,7/25/2025,7/25/2025,7/28/2025,C5548,Asia,China,P39855,Hand Sanitizer Case,Healthcare,S108,Zenith Procurement,Asia,WH 05,Frankfurt,Road,242,36.64,8866.88,14.32,3,2455,Delivered,1505.32
100017,8/9/2025,8/9/2025,8/20/2025,C5199,Europe,Spain,P71267,Wireless Earbuds,Electronics,S353,Summit Supply Co,Europe,WH 09,Johannesburg,Rail,236,205.19,48424.84,12.17,11,1546,In Transit,4952.01
100018,6/11/2024,6/15/2024,6/25/2024,C6699,North America,Mexico,P33328,Thermometer,Healthcare,S497,Atlas Sourcing,Europe,WH 06,Amsterdam,Road,286,22.66,6480.76,20.58,10,1727,Delivered,987.11
100019,4/4/2025,4/6/2025,4/18/2025,C2045,Africa,Morocco,P16893,Router,Electronics,S769,Zenith Procurement,Middle East,WH 01,Karachi,Sea,47,441.77,20763.19,8.88,12,612,Delivered,3962.57
100020,10/10/2024,10/10/2024,10/16/2024,C8683,North America,Canada,P83744,Shampoo Pack,FMCG,S271,Atlas Sourcing,Africa,WH 02,Lahore,Road,229,26.15,5988.35,18.97,6,1369,Delivered,292.48
100021,5/11/2025,5/16/2025,5/22/2025,C1699,Middle East,United Arab Emirates,P64240,First Aid Kit,Healthcare,S215,Crescent Logistics,Middle East,WH 09,Johannesburg,Road,200,33.07,6614,13.44,6,3175,Delivered,595.27
100022,7/19/2025,7/20/2025,8/1/2025,C4863,North America,Mexico,P82991,Face Mask Box,Healthcare,S953,Atlas Sourcing,Africa,WH 04,Istanbul,Sea,160,19.49,3118.4,10.94,12,354,Delivered,551.39
100023,9/2/2024,9/6/2024,9/8/2024,C6986,Middle East,Qatar,P60993,Storage Cabinet,Furniture,S507,Pioneer Distribution,Asia,WH 04,Istanbul,Air,22,65.29,1436.38,29.94,2,85,Delivered,291.8
100024,2/3/2025,2/8/2025,3/1/2025,C6919,Asia,Bangladesh,P20966,Router,Electronics,S953,Summit Supply Co,Europe,WH 10,Cairo,Sea,60,241.58,14494.8,9.11,21,624,Delivered,2896.47
100025,11/12/2025,11/17/2025,12/11/2025,C3491,Asia,Pakistan,P90135,Smart Watch,Electronics,S152,BlueRiver Trading,Asia,WH 06,Amsterdam,Sea,69,144.17,9947.73,6.87,24,54,Delivered,1059.66
100026,10/17/2025,10/21/2025,10/24/2025,C2693,Africa,Kenya,P96672,Sportswear Set,Apparel,S219,Atlas Sourcing,Africa,WH 03,Dubai,Road,328,57.69,18922.32,16.13,3,1231,In Transit,5519.21
100027,1/27/2025,1/30/2025,2/10/2025,C1512,Europe,Sweden,P56175,Floor Lamp,Furniture,S737,Atlas Sourcing,Asia,WH 02,Lahore,Rail,127,261.52,33213.04,13.78,11,537,Delivered,6717.55
100028,8/3/2025,8/8/2025,8/21/2025,C2679,North America,Canada,P79042,Floor Lamp,Furniture,S185,Orion Supplies,Asia,WH 01,Karachi,Rail,194,145.98,28320.12,15.41,13,1293,Delayed,3567.56
100029,3/28/2025,3/31/2025,4/13/2025,C7484,North America,United States,P72752,Toothpaste Box,FMCG,S353,Atlas Sourcing,Africa,WH 08,Chicago,Rail,231,34.24,7909.44,16.31,13,3149,In Transit,1338.95
100030,11/20/2024,11/24/2024,12/7/2024,C9527,Middle East,Saudi Arabia,P40977,Sportswear Set,Apparel,S596,Atlas Sourcing,Asia,WH 08,Chicago,Sea,485,74.44,36103.4,16.86,13,1001,Delivered,8238.46
100031,11/21/2025,11/23/2025,11/29/2025,C6536,Asia,China,P79449,Vitamin Pack,Healthcare,S142,BlueRiver Trading,Europe,WH 03,Dubai,Road,53,30.46,1614.38,13.98,6,4307,In Transit,118.85
100032,3/30/2024,4/3/2024,4/16/2024,C1417,Middle East,Oman,P67458,Bottled Water Case,FMCG,S716,Orion Supplies,Europe,WH 07,Toronto,Rail,400,10.32,4128,20.41,13,1816,In Transit,410.28
100033,11/6/2025,11/7/2025,11/13/2025,C3786,Middle East,Qatar,P93042,Bookshelf,Furniture,S647,Evergreen Partners,Africa,WH 08,Chicago,Road,475,117.51,55817.25,25.94,6,2193,Delivered,14338.41
100034,6/8/2025,6/8/2025,6/22/2025,C9787,Europe,Italy,P56959,Shampoo Pack,FMCG,S828,Vertex Manufacturing,Africa,WH 01,Karachi,Sea,351,18.39,6454.89,14.42,14,695,Delayed,1019.19
100035,12/18/2025,12/21/2025,12/24/2025,C9335,Asia,Pakistan,P96900,Face Mask Box,Healthcare,S168,Summit Supply Co,Africa,WH 03,Dubai,Air,108,57.4,6199.2,35.51,3,3138,Delivered,1028.08
100036,11/23/2025,11/24/2025,12/2/2025,C5729,Africa,South Africa,P19348,Shampoo Pack,FMCG,S262,Vertex Manufacturing,Asia,WH 04,Istanbul,Road,224,29.57,6623.68,18.82,8,1253,Delivered,384.79
100037,6/18/2024,6/18/2024,6/23/2024,C2540,Asia,Indonesia,P98092,Detergent Bag,FMCG,S264,Vertex Manufacturing,Asia,WH 10,Cairo,Rail,431,49.4,21291.4,15.68,5,1688,Delivered,3670.76
100038,5/11/2024,5/14/2024,5/21/2024,C2810,Middle East,Turkey,P82124,Thermometer,Healthcare,S975,Zenith Procurement,North America,WH 04,Istanbul,Road,191,65.82,12571.62,17.89,7,913,Delivered,842.89
100039,2/27/2024,3/1/2024,3/5/2024,C4072,Europe,Italy,P49298,Study Table,Furniture,S447,Nova Industrial,Middle East,WH 06,Amsterdam,Air,199,164.07,32649.93,41.41,4,1581,Delivered,5044.64
100040,7/9/2025,7/13/2025,7/25/2025,C6348,Asia,Malaysia,P40354,Thermometer,Healthcare,S631,BlueRiver Trading,Asia,WH 09,Johannesburg,Road,450,50.89,22900.5,18.69,12,1456,Delayed,2461.07
100041,7/19/2025,7/24/2025,8/5/2025,C9120,Africa,Nigeria,P17114,Snack Carton,FMCG,S111,BlueRiver Trading,Europe,WH 06,Amsterdam,Sea,339,47.77,16194.03,14.2,12,657,Delivered,1379.45
100042,3/30/2024,3/31/2024,4/4/2024,C5964,Europe,Spain,P14835,Hand Sanitizer Case,Healthcare,S803,Vertex Manufacturing,Africa,WH 01,Karachi,Air,420,65.25,27405,55.73,4,2708,Delivered,5107.93
100043,8/16/2025,8/18/2025,8/23/2025,C1009,Asia,India,P94791,T Shirt Bundle,Apparel,S897,BlueRiver Trading,Africa,WH 03,Dubai,Air,251,70.67,17738.17,44.78,5,1178,Cancelled,-246.95
100044,6/25/2024,6/27/2024,7/2/2024,C4925,North America,Mexico,P16970,Snack Carton,FMCG,S894,Atlas Sourcing,North America,WH 09,Johannesburg,Air,186,42.72,7945.92,30.05,5,1933,Delivered,381.37
100045,4/20/2025,4/20/2025,4/28/2025,C6989,North America,United States,P90642,Power Bank,Electronics,S536,Nova Industrial,Asia,WH 01,Karachi,Rail,32,359.91,11517.12,11.47,8,726,Delivered,1298.62
100046,1/1/2024,1/3/2024,1/8/2024,C6565,Europe,Poland,P80080,Denim Jeans,Apparel,S980,Pioneer Distribution,Africa,WH 07,Toronto,Air,497,77.99,38761.03,60.72,5,2292,Delivered,7848.92
100047,11/1/2024,11/4/2024,11/6/2024,C9580,Asia,Pakistan,P34285,Detergent Bag,FMCG,S862,Orion Supplies,North America,WH 10,Cairo,Road,322,31.55,10159.1,21.6,2,3114,Cancelled,-178.98
100048,3/10/2025,3/15/2025,4/9/2025,C7241,Middle East,Saudi Arabia,P83553,Wireless Earbuds,Electronics,S897,Zenith Procurement,Asia,WH 06,Amsterdam,Sea,344,230.62,79333.28,14.29,25,496,Delayed,12412.67
100049,11/30/2024,12/3/2024,12/26/2024,C8730,Europe,Poland,P53088,Wireless Earbuds,Electronics,S232,Summit Supply Co,Middle East,WH 10,Cairo,Sea,294,117.36,34503.84,13.38,23,233,Delivered,1408.39
100050,3/25/2025,3/29/2025,4/21/2025,C2906,Europe,Sweden,P16254,Toothpaste Box,FMCG,S860,Evergreen Partners,Asia,WH 03,Dubai,Sea,160,10.76,1721.6,10.94,23,3745,Delivered,231.02
100051,7/13/2024,7/15/2024,7/20/2024,C7777,Middle East,Saudi Arabia,P21314,Denim Jeans,Apparel,S502,BlueRiver Trading,Middle East,WH 01,Karachi,Air,286,28.58,8173.88,34.85,5,753,In Transit,1679.56
100052,6/7/2025,6/8/2025,6/13/2025,C8240,Europe,France,P33321,Bookshelf,Furniture,S348,Nova Industrial,Europe,WH 04,Istanbul,Rail,56,234.65,13140.4,8.93,5,1129,Delivered,1696.33
100053,9/13/2024,9/13/2024,9/17/2024,C1302,Europe,Spain,P92558,Hoodie,Apparel,S155,BlueRiver Trading,North America,WH 06,Amsterdam,Road,223,35.97,8021.31,18.8,4,177,Delivered,1207.92
100054,1/7/2024,1/9/2024,1/19/2024,C6870,Africa,Nigeria,P77067,Bluetooth Speaker,Electronics,S373,Nova Industrial,Europe,WH 10,Cairo,Rail,303,267.72,81119.16,18.05,10,1088,Delivered,8541.62
100055,9/29/2024,10/4/2024,10/6/2024,C5632,Asia,Pakistan,P13596,Face Mask Box,Healthcare,S311,Zenith Procurement,North America,WH 07,Toronto,Air,34,63.69,2165.46,30.72,2,266,Delivered,255.87
100056,4/14/2025,4/15/2025,4/24/2025,C7891,Middle East,Turkey,P82274,Snack Carton,FMCG,S653,Orion Supplies,Middle East,WH 01,Karachi,Road,434,20.19,8762.46,18.35,9,3039,Delivered,825.41
100057,1/11/2025,1/11/2025,2/1/2025,C2605,North America,Canada,P81158,Wireless Earbuds,Electronics,S723,Vertex Manufacturing,North America,WH 02,Lahore,Sea,13,391.82,5093.66,6.12,21,1519,Delayed,525.01
100058,8/30/2024,9/3/2024,9/7/2024,C1005,Africa,Nigeria,P51427,Bookshelf,Furniture,S831,Evergreen Partners,North America,WH 09,Johannesburg,Air,84,308.31,25898.04,33.96,4,695,Delivered,6069.26
100059,7/12/2024,7/14/2024,7/31/2024,C7316,Europe,Spain,P16469,Study Table,Furniture,S509,Vertex Manufacturing,Africa,WH 05,Frankfurt,Sea,127,260.4,33070.8,10.33,17,773,Delivered,4565.81
100060,11/15/2024,11/20/2024,11/28/2024,C7988,Africa,South Africa,P57362,Hoodie,Apparel,S772,Atlas Sourcing,Middle East,WH 10,Cairo,Rail,399,47.03,18764.97,20.39,8,159,Delivered,2613.2
100061,8/18/2025,8/18/2025,8/25/2025,C2994,Middle East,Oman,P89767,Study Table,Furniture,S649,Summit Supply Co,Middle East,WH 03,Dubai,Air,428,148.15,63408.2,41.66,7,1654,Delivered,8828.36
100062,5/16/2024,5/17/2024,5/28/2024,C6951,North America,Mexico,P97388,Hand Sanitizer Case,Healthcare,S939,BlueRiver Trading,Europe,WH 05,Frankfurt,Road,276,73.21,20205.96,20.3,11,1514,Delivered,3141.44
100063,5/11/2024,5/11/2024,6/2/2024,C7943,Europe,France,P21954,Bluetooth Speaker,Electronics,S736,Atlas Sourcing,Middle East,WH 10,Cairo,Sea,431,270.51,116589.81,15.87,22,624,Delivered,23994.69
100064,9/7/2025,9/9/2025,9/24/2025,C2202,Middle East,Oman,P34519,First Aid Kit,Healthcare,S653,Evergreen Partners,Middle East,WH 07,Toronto,Road,457,21.67,9903.19,18.84,15,2235,Delayed,1412.27
100065,3/16/2025,3/16/2025,4/7/2025,C1950,Europe,Poland,P12336,Bluetooth Speaker,Electronics,S353,Evergreen Partners,Europe,WH 03,Dubai,Sea,205,282.26,57863.3,8.71,22,1595,Delivered,5454.06
100066,8/15/2024,8/19/2024,8/30/2024,C4228,Asia,Indonesia,P30103,Shampoo Pack,FMCG,S360,Pioneer Distribution,Europe,WH 08,Chicago,Rail,166,15.32,2543.12,14.73,11,3191,In Transit,310.27
100067,10/9/2024,10/13/2024,10/17/2024,C7166,Middle East,Turkey,P10814,Face Mask Box,Healthcare,S445,Summit Supply Co,Middle East,WH 03,Dubai,Air,311,58.43,18171.73,36.05,4,2465,Delivered,2231.14
100068,4/4/2025,4/7/2025,4/14/2025,C4876,Middle East,Qatar,P10126,Snack Carton,FMCG,S205,Summit Supply Co,Middle East,WH 04,Istanbul,Rail,101,21.85,2206.85,9.74,7,4446,Delivered,366.14
100069,9/4/2025,9/8/2025,9/10/2025,C4030,Middle East,United Arab Emirates,P29256,Denim Jeans,Apparel,S100,Nova Industrial,North America,WH 06,Amsterdam,Air,328,44.26,14517.28,49.77,2,2568,Delivered,1364.39
100070,3/11/2025,3/11/2025,3/17/2025,C8970,Europe,France,P35150,Bottled Water Case,FMCG,S343,Crescent Logistics,Europe,WH 02,Lahore,Road,34,43.86,1491.24,9.95,6,685,Delivered,242.66
100071,6/27/2024,7/2/2024,7/13/2024,C6299,Middle East,Qatar,P55765,Face Mask Box,Healthcare,S600,Evergreen Partners,Asia,WH 04,Istanbul,Rail,353,33.54,11839.62,19.27,11,4358,Delivered,1136.85
100072,3/24/2024,3/24/2024,3/28/2024,C9533,Middle East,Turkey,P31566,Router,Electronics,S800,Evergreen Partners,Middle East,WH 01,Karachi,Rail,369,255.86,94412.34,14.56,4,1214,Delivered,18109.73
100073,10/31/2025,11/4/2025,11/12/2025,C8311,North America,Canada,P99106,Storage Cabinet,Furniture,S117,Summit Supply Co,Africa,WH 04,Istanbul,Air,266,280.41,74589.06,45.75,8,243,Delivered,14836.4
100074,10/5/2025,10/5/2025,10/16/2025,C9038,Europe,Italy,P58770,Floor Lamp,Furniture,S899,Orion Supplies,Middle East,WH 06,Amsterdam,Rail,275,123.93,34080.75,17.37,11,1951,Delivered,9410.35
100075,1/25/2025,1/29/2025,2/13/2025,C9519,Europe,Sweden,P66373,Study Table,Furniture,S860,Vertex Manufacturing,Africa,WH 01,Karachi,Rail,248,216.53,53699.44,16.72,15,1337,Delayed,8516.53
100076,4/29/2024,5/4/2024,5/18/2024,C6619,Africa,Morocco,P96925,Bluetooth Speaker,Electronics,S834,Evergreen Partners,Europe,WH 08,Chicago,Rail,320,409.57,131062.4,18.47,14,56,Delivered,26028.6
100077,7/1/2025,7/5/2025,7/26/2025,C7852,Asia,Bangladesh,P97955,Bookshelf,Furniture,S622,Atlas Sourcing,Middle East,WH 06,Amsterdam,Sea,243,295.78,71874.54,12.45,21,756,Delivered,15790.16
100078,8/13/2024,8/17/2024,8/21/2024,C2387,Middle East,Qatar,P39975,Bookshelf,Furniture,S692,BlueRiver Trading,Middle East,WH 01,Karachi,Air,211,215.39,45447.29,31.25,4,2156,Delivered,4420.7
100079,7/5/2025,7/6/2025,7/16/2025,C6877,North America,United States,P27685,Bluetooth Speaker,Electronics,S334,Orion Supplies,Europe,WH 04,Istanbul,Road,13,111.59,1450.67,12.84,10,78,Delivered,106.95
100080,2/11/2024,2/14/2024,2/24/2024,C8184,Africa,Kenya,P32180,Toothpaste Box,FMCG,S252,Pioneer Distribution,Asia,WH 10,Cairo,Road,495,42.34,20958.3,26.51,10,1922,Delivered,1739.83
100081,12/31/2025,1/1/2026,1/22/2026,C9646,Middle East,Qatar,P69052,Denim Jeans,Apparel,S500,Vertex Manufacturing,Africa,WH 02,Lahore,Sea,419,54.48,22827.12,15.66,21,851,In Transit,3026.21
100082,11/23/2025,11/26/2025,12/8/2025,C9340,North America,United States,P63002,Vitamin Pack,Healthcare,S395,Nova Industrial,Africa,WH 07,Toronto,Sea,20,37.17,743.4,8.38,12,1336,Delivered,135.4
100083,10/25/2025,10/30/2025,11/8/2025,C6408,Europe,Germany,P69129,First Aid Kit,Healthcare,S647,BlueRiver Trading,North America,WH 10,Cairo,Rail,248,29.51,7318.48,16.72,9,1962,Delivered,1404.39
100084,7/19/2024,7/20/2024,7/25/2024,C3343,Africa,South Africa,P47904,Socks Pack,Apparel,S740,Evergreen Partners,North America,WH 02,Lahore,Road,226,87.54,19784.04,18.88,5,1789,Delivered,5200.55
100085,6/20/2024,6/22/2024,6/30/2024,C5090,Asia,Vietnam,P16960,Floor Lamp,Furniture,S116,BlueRiver Trading,Middle East,WH 06,Amsterdam,Air,339,254.07,86129.73,50.48,8,1570,Delivered,22314.94
100086,10/22/2025,10/22/2025,11/1/2025,C8119,Europe,Spain,P68053,Detergent Bag,FMCG,S299,Nova Industrial,Africa,WH 09,Johannesburg,Rail,34,45.65,1552.1,11.52,10,4026,In Transit,118.21
100087,2/4/2025,2/5/2025,2/13/2025,C1390,Middle East,Oman,P54813,Hand Sanitizer Case,Healthcare,S434,Zenith Procurement,Europe,WH 02,Lahore,Rail,126,67.94,8560.44,13.75,8,3130,Delivered,1636.31
100088,1/6/2025,1/8/2025,1/10/2025,C1614,Middle East,Saudi Arabia,P97312,Storage Cabinet,Furniture,S625,Vertex Manufacturing,Middle East,WH 06,Amsterdam,Air,168,153.06,25714.08,29.18,2,1171,Delivered,5238.15
100089,12/29/2024,12/29/2024,1/3/2025,C1920,Middle East,Qatar,P17564,Bottled Water Case,FMCG,S821,Atlas Sourcing,North America,WH 05,Frankfurt,Road,170,44.87,7627.9,17.29,5,1431,In Transit,1038.15
100090,5/20/2024,5/21/2024,5/31/2024,C3032,North America,Mexico,P71916,Socks Pack,Apparel,S417,Orion Supplies,Africa,WH 04,Istanbul,Air,254,62.78,15946.12,44.97,10,421,Delivered,3999.84
100091,12/24/2024,12/27/2024,1/2/2025,C4760,Europe,Poland,P12050,Floor Lamp,Furniture,S528,Summit Supply Co,Europe,WH 08,Chicago,Road,151,132.07,19942.57,12.41,6,2083,Delivered,2265.48
100092,8/7/2025,8/7/2025,8/19/2025,C2828,Middle East,United Arab Emirates,P55028,Wireless Earbuds,Electronics,S479,Atlas Sourcing,Middle East,WH 04,Istanbul,Rail,207,443.11,91723.77,11.65,12,1392,Delivered,15203.27
100093,7/17/2025,7/20/2025,7/23/2025,C6429,Africa,Nigeria,P51844,Storage Cabinet,Furniture,S342,Summit Supply Co,North America,WH 07,Toronto,Air,375,111.51,41816.25,52.81,3,275,In Transit,11369.85
100094,5/31/2025,6/4/2025,6/5/2025,C2913,North America,Mexico,P40448,Bookshelf,Furniture,S672,Nova Industrial,North America,WH 04,Istanbul,Air,388,162.84,63181.92,39.74,1,899,Delivered,9097.84
100095,4/29/2024,5/3/2024,5/13/2024,C2933,Europe,Italy,P93300,Router,Electronics,S709,Crescent Logistics,Europe,WH 04,Istanbul,Road,276,402.21,111009.96,15.04,10,1396,Delivered,9555.43
100096,6/18/2024,6/18/2024,6/29/2024,C1954,North America,Mexico,P91121,Thermometer,Healthcare,S223,Vertex Manufacturing,North America,WH 02,Lahore,Rail,472,8.42,3974.24,16.42,11,4172,Delivered,758.86
100097,8/15/2025,8/16/2025,9/2/2025,C1317,North America,United States,P12396,Denim Jeans,Apparel,S214,Nova Industrial,Asia,WH 09,Johannesburg,Sea,195,72.85,14205.75,11.57,17,3261,Delivered,2167.67
100098,5/26/2024,5/29/2024,6/8/2024,C2704,North America,United States,P43130,Router,Electronics,S656,Nova Industrial,Europe,WH 08,Chicago,Sea,354,422.74,149649.96,14.47,10,405,Delivered,15280.46
100099,1/31/2024,2/1/2024,2/7/2024,C4998,Asia,Indonesia,P28787,Sportswear Set,Apparel,S357,Pioneer Distribution,Middle East,WH 06,Amsterdam,Road,215,93.23,20044.45,18.57,6,1697,Cancelled,-245.48
100100,1/17/2024,1/18/2024,2/12/2024,C2007,Asia,Bangladesh,P80981,Office Chair,Furniture,S566,BlueRiver Trading,Middle East,WH 08,Chicago,Sea,423,45.71,19335.33,15.73,25,1306,Delayed,3362.14
100101,8/9/2024,8/13/2024,8/20/2024,C2887,Africa,South Africa,P55539,Toothpaste Box,FMCG,S341,Vertex Manufacturing,North America,WH 02,Lahore,Road,333,18.54,6173.82,21.91,7,1340,Delivered,26.74
100102,7/28/2024,7/29/2024,8/21/2024,C9476,Asia,Indonesia,P31195,Storage Cabinet,Furniture,S775,Vertex Manufacturing,Africa,WH 04,Istanbul,Sea,260,80.33,20885.8,12.76,23,1080,Delivered,3736.1
100103,4/3/2025,4/4/2025,4/14/2025,C4356,Middle East,Oman,P24288,Socks Pack,Apparel,S198,Evergreen Partners,North America,WH 10,Cairo,Rail,406,103.96,42207.76,20.56,10,3492,Delivered,6063.85
100104,3/24/2024,3/29/2024,4/2/2024,C1988,Africa,South Africa,P63268,Toothpaste Box,FMCG,S402,Nova Industrial,Asia,WH 03,Dubai,Road,473,43.58,20613.34,25.88,4,4479,Delivered,3641.59
100105,6/10/2025,6/11/2025,7/3/2025,C4056,Europe,Netherlands,P92711,Smart Watch,Electronics,S623,Orion Supplies,Middle East,WH 08,Chicago,Sea,283,397.1,112379.3,13.18,22,257,Delivered,12182.02
100106,6/3/2025,6/5/2025,6/10/2025,C1959,North America,United States,P48827,Snack Carton,FMCG,S792,Nova Industrial,Middle East,WH 02,Lahore,Rail,33,46.44,1532.52,11.49,5,3246,Delivered,65.38
100107,8/23/2024,8/26/2024,9/8/2024,C8099,North America,Mexico,P15109,First Aid Kit,Healthcare,S600,Evergreen Partners,Asia,WH 09,Johannesburg,Sea,126,56.4,7106.4,10.32,13,783,Delivered,497.86
100108,11/15/2024,11/16/2024,12/9/2024,C9357,Europe,Italy,P36143,Shampoo Pack,FMCG,S110,Orion Supplies,Europe,WH 05,Frankfurt,Sea,310,39.07,12111.7,10.12,23,2343,In Transit,1352.03
100109,2/4/2025,2/7/2025,2/8/2025,C9783,Middle East,United Arab Emirates,P58787,Bookshelf,Furniture,S772,Evergreen Partners,North America,WH 09,Johannesburg,Air,211,280.5,59185.5,42.18,1,291,Delivered,11962.64
100110,8/11/2025,8/14/2025,8/27/2025,C8014,Middle East,United Arab Emirates,P60861,Vitamin Pack,Healthcare,S221,Evergreen Partners,North America,WH 10,Cairo,Rail,152,24.41,3710.32,14.39,13,1086,Delivered,305.25
100111,1/9/2024,1/14/2024,1/17/2024,C9907,Asia,Pakistan,P36289,Detergent Bag,FMCG,S959,Vertex Manufacturing,Asia,WH 05,Frankfurt,Air,327,40.25,13161.75,36.82,3,4506,In Transit,2152.32
100112,11/9/2024,11/14/2024,11/23/2024,C5109,Europe,Spain,P25313,Face Mask Box,Healthcare,S111,Nova Industrial,Europe,WH 10,Cairo,Road,96,61.32,5886.72,11.26,9,1760,Delivered,1147.61
100113,9/22/2025,9/26/2025,10/11/2025,C4665,Middle East,United Arab Emirates,P85717,Bookshelf,Furniture,S822,Evergreen Partners,North America,WH 06,Amsterdam,Rail,159,143.02,22740.18,14.56,15,361,Delayed,5080.43
100114,2/4/2024,2/8/2024,2/17/2024,C8005,Europe,Italy,P69321,Floor Lamp,Furniture,S123,Nova Industrial,Middle East,WH 09,Johannesburg,Road,413,234.92,97021.96,24.18,9,1437,Delivered,20052.39
100115,9/8/2025,9/11/2025,9/17/2025,C2394,Middle East,United Arab Emirates,P55241,Hoodie,Apparel,S345,Zenith Procurement,Asia,WH 07,Toronto,Road,134,33.17,4444.78,16.27,6,3458,Delivered,637.82
100116,4/9/2024,4/14/2024,4/22/2024,C1525,Africa,Egypt,P98397,Office Chair,Furniture,S101,Atlas Sourcing,Africa,WH 06,Amsterdam,Road,384,168.04,64527.36,17.3,8,602,Delivered,12323.48
100117,3/24/2024,3/25/2024,4/4/2024,C9219,Middle East,United Arab Emirates,P77649,Snack Carton,FMCG,S262,Summit Supply Co,Europe,WH 05,Frankfurt,Rail,238,5.41,1287.58,16.48,10,4855,Delivered,123.86
100118,12/7/2025,12/12/2025,12/25/2025,C4432,Middle East,United Arab Emirates,P52240,Router,Electronics,S232,Atlas Sourcing,Europe,WH 05,Frankfurt,Rail,285,289.27,82441.95,17.62,13,1021,Delivered,5444.45
